DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
679.3000,16.6000,31.0000,,2.6700,,B37H0712,1461,IJS-57,K-0001,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
684.2000,26.2000,43.0000,,2.6200,,B37H0712,1461,IJS-57,K-0002,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
684.5000,31.3000,120.0000,,2.6300,,B37H0712,1461,IJS-57,K-0003,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
684.9000,29.1000,5.8000,,2.7000,,B37H0712,1461,IJS-57,K-0004,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
685.1000,26.4000,30.0000,,2.6500,,B37H0712,1461,IJS-57,K-0005,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
685.4000,28.3000,50.0000,,2.6200,,B37H0712,1461,IJS-57,K-0006,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
685.4900,30.0000,48.0000,,2.6300,,B37H0712,1461,IJS-57,K-0006R,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
685.8000,26.5000,28.0000,,2.6300,,B37H0712,1461,IJS-57,K-0007,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
686.1000,26.6000,24.0000,,2.6200,,B37H0712,1461,IJS-57,K-0008,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
686.3000,30.8000,91.0000,,2.6200,,B37H0712,1461,IJS-57,K-0009,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
686.7000,29.5000,54.0000,,2.6300,,B37H0712,1461,IJS-57,K-0010,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
687.0000,27.5000,40.0000,,2.6100,,B37H0712,1461,IJS-57,K-0011,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
687.3000,27.3000,40.0000,,2.6400,,B37H0712,1461,IJS-57,K-0012,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
687.5000,26.2000,40.0000,,2.6200,,B37H0712,1461,IJS-57,K-0013,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
687.9000,28.4000,52.0000,,2.6300,,B37H0712,1461,IJS-57,K-0014,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
688.1000,27.4000,35.0000,,2.6200,,B37H0712,1461,IJS-57,K-0015,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
688.5000,25.7000,12.0000,,2.6300,,B37H0712,1461,IJS-57,K-0016,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
688.8000,23.8000,8.5000,,2.6400,,B37H0712,1461,IJS-57,K-0017,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
689.1000,28.1000,48.0000,,2.6300,,B37H0712,1461,IJS-57,K-0018,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
689.4000,32.4000,230.0000,,2.6400,,B37H0712,1461,IJS-57,K-0019,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
689.7000,31.6000,170.0000,,2.6700,,B37H0712,1461,IJS-57,K-0020,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
689.9000,27.4000,68.0000,,2.6400,,B37H0712,1461,IJS-57,K-0021,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
690.2000,28.5000,29.0000,,2.6400,,B37H0712,1461,IJS-57,K-0022,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
690.5000,29.1000,53.0000,,2.6300,,B37H0712,1461,IJS-57,K-0023,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
690.8000,27.8000,37.0000,,2.6500,,B37H0712,1461,IJS-57,K-0024,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
691.1000,27.8000,52.0000,,2.6400,,B37H0712,1461,IJS-57,K-0025,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
691.3000,30.5000,110.0000,,2.6400,,B37H0712,1461,IJS-57,K-0026,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
691.7000,28.8000,37.0000,,2.6500,,B37H0712,1461,IJS-57,K-0027,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
693.1000,27.7000,41.0000,,2.6500,,B37H0712,1461,IJS-57,K-0028,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
693.3000,27.0000,36.0000,,2.6400,,B37H0712,1461,IJS-57,K-0029,1 t/m 2,KSEPL,,,,660.5000,711.5000,KNGLG,Holland Greensand Member
